signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held
2025-01-03 15:30:00+00:00,2025-01-03 15:45:00+00:00,2025-01-06 05:30:00+00:00,BUY,overlap,retest,527,2645.452,2633.979,2668.398,2633.929,stop,11.473,2.1791,-25.11,-1.004,9974.89,51.0
2025-01-06 14:45:00+00:00,2025-01-06 15:00:00+00:00,2025-01-09 11:54:00+00:00,BUY,overlap,retest,523,2632.125,2611.607,2673.161,2673.161,target,20.518,1.2154,49.87,2.0,10024.77,
2025-01-09 14:30:00+00:00,2025-01-09 14:45:00+00:00,2025-01-13 17:05:00+00:00,BUY,overlap,retest,533,2674.105,2659.681,2702.952,2659.631,stop,14.424,1.7376,-25.15,-1.003,9999.62,
2025-01-13 17:00:00+00:00,2025-01-13 17:15:00+00:00,2025-01-16 01:06:00+00:00,BUY,newyork,retest,528,2662.592,2644.318,2699.14,2699.14,target,18.274,1.368,50.0,2.0,10049.61,
2025-01-21 11:15:00+00:00,2025-01-21 11:30:00+00:00,2025-01-21 16:18:00+00:00,BUY,london,retest,543,2720.292,2709.567,2741.742,2741.742,target,10.725,2.3426,50.25,2.0,10099.86,
2025-02-11 13:15:00+00:00,2025-02-11 13:30:00+00:00,2025-02-12 13:18:00+00:00,BUY,overlap,retest,553,2890.302,2875.871,2919.165,2875.821,stop,14.431,1.7496,-25.34,-1.003,10074.53,
2025-02-14 16:45:00+00:00,2025-02-14 17:00:00+00:00,2025-02-19 01:50:00+00:00,BUY,newyork,retest,553,2896.335,2875.284,2938.437,2938.437,target,21.051,1.1965,50.37,2.0,10124.9,
2025-02-24 14:30:00+00:00,2025-02-24 14:45:00+00:00,2025-02-24 15:04:00+00:00,BUY,overlap,retest,556,2943.105,2932.421,2964.473,2932.371,stop,10.684,2.3692,-25.43,-1.005,10099.47,
2025-03-21 14:15:00+00:00,2025-03-21 14:30:00+00:00,2025-03-24 10:28:00+00:00,BUY,overlap,retest,567,3008.385,2996.72,3031.715,3031.715,target,11.665,2.1645,50.5,2.0,10149.96,
2025-03-24 12:00:00+00:00,2025-03-24 12:15:00+00:00,2025-03-24 14:24:00+00:00,BUY,overlap,retest,567,3026.795,3018.082,3044.221,3018.032,stop,8.713,2.9123,-25.52,-1.006,10124.44,
2025-03-25 14:30:00+00:00,2025-03-25 14:45:00+00:00,2025-03-26 01:03:00+00:00,BUY,overlap,retest,567,3030.671,3016.366,3059.28,3016.316,stop,14.305,1.7694,-25.4,-1.003,10099.04,
2025-03-26 10:15:00+00:00,2025-03-26 10:30:00+00:00,2025-03-26 13:57:00+00:00,BUY,london,retest,567,3023.205,3015.648,3038.32,3015.598,stop,7.557,3.3408,-25.41,-1.007,10073.63,
2025-03-27 13:45:00+00:00,2025-03-27 14:00:00+00:00,2025-03-28 01:48:00+00:00,BUY,overlap,retest,571,3041.042,3026.53,3070.066,3070.066,target,14.512,1.7354,50.37,2.0,10124.0,
2025-04-09 15:00:00+00:00,2025-04-09 15:15:00+00:00,2025-04-10 14:10:00+00:00,BUY,overlap,retest,568,3075.525,3041.422,3143.73,3143.73,target,34.103,0.7422,50.62,2.0,10174.62,
2025-05-15 15:30:00+00:00,2025-05-15 15:45:00+00:00,2025-05-15 20:02:00+00:00,SELL,newyork,retest,589,3213.305,3233.852,3172.211,3233.902,stop,20.547,1.238,-25.5,-1.002,10149.12,
2025-06-05 12:00:00+00:00,2025-06-05 12:15:00+00:00,2025-06-05 13:01:00+00:00,BUY,overlap,retest,598,3396.341,3377.318,3434.387,3377.268,stop,19.023,1.3338,-25.44,-1.003,10123.68,
2025-06-05 16:00:00+00:00,2025-06-05 16:15:00+00:00,2025-06-06 14:20:00+00:00,BUY,newyork,retest,587,3350.885,3320.076,3412.503,3320.026,stop,30.809,0.8215,-25.35,-1.002,10098.33,
2025-06-06 14:30:00+00:00,2025-06-06 14:45:00+00:00,2025-06-06 19:55:00+00:00,BUY,overlap,retest,587,3334.252,3312.206,3378.344,3312.156,stop,22.046,1.1451,-25.3,-1.002,10073.03,
2025-06-10 15:15:00+00:00,2025-06-10 15:30:00+00:00,2025-06-10 23:22:00+00:00,BUY,overlap,retest,595,3327.025,3315.903,3349.269,3315.853,stop,11.122,2.2642,-25.3,-1.004,10047.73,
2025-06-12 15:15:00+00:00,2025-06-12 15:30:00+00:00,2025-06-13 00:54:00+00:00,BUY,overlap,retest,598,3388.705,3373.822,3418.47,3418.47,target,14.883,1.6878,50.24,2.0,10097.97,
2025-06-16 14:00:00+00:00,2025-06-16 14:15:00+00:00,2025-06-17 03:23:00+00:00,BUY,overlap,retest,598,3396.915,3375.932,3438.881,3375.882,stop,20.983,1.2031,-25.31,-1.002,10072.66,
2025-06-17 11:30:00+00:00,2025-06-17 11:45:00+00:00,2025-06-17 14:33:00+00:00,BUY,london,retest,598,3396.652,3377.242,3435.471,3377.192,stop,19.41,1.2974,-25.25,-1.003,10047.42,
2025-06-18 07:30:00+00:00,2025-06-18 07:45:00+00:00,2025-06-18 14:20:00+00:00,BUY,london,retest,598,3384.395,3374.879,3403.428,3374.829,stop,9.516,2.6395,-25.25,-1.005,10022.17,
2025-06-30 16:15:00+00:00,2025-06-30 16:30:00+00:00,2025-06-30 19:57:00+00:00,SELL,newyork,retest,602,3292.155,3309.307,3257.85,3309.357,stop,17.152,1.4607,-25.13,-1.003,9997.04,
2025-07-09 11:00:00+00:00,2025-07-09 11:15:00+00:00,2025-07-09 14:16:00+00:00,SELL,london,retest,602,3293.005,3307.753,3263.51,3307.803,stop,14.748,1.6947,-25.08,-1.003,9971.96,
2025-07-09 15:00:00+00:00,2025-07-09 15:15:00+00:00,2025-07-10 00:42:00+00:00,SELL,overlap,retest,604,3307.875,3322.239,3279.146,3322.289,stop,14.364,1.7355,-25.02,-1.003,9946.95,
2025-07-21 08:15:00+00:00,2025-07-21 08:30:00+00:00,2025-07-21 12:37:00+00:00,BUY,london,retest,608,3365.885,3356.581,3384.494,3384.494,target,9.304,2.6726,49.73,2.0,9996.68,
2025-07-24 16:30:00+00:00,2025-07-24 16:45:00+00:00,2025-07-25 05:49:00+00:00,BUY,newyork,retest,608,3371.002,3355.855,3401.296,3355.805,stop,15.147,1.65,-25.07,-1.003,9971.61,
2025-08-22 15:30:00+00:00,2025-08-22 15:45:00+00:00,2025-08-25 23:48:00+00:00,SELL,newyork,retest,587,3371.765,3381.639,3352.017,3352.017,target,9.874,2.5247,49.86,2.0,10021.46,
2025-08-26 18:00:00+00:00,2025-08-26 18:15:00+00:00,2025-08-28 12:09:00+00:00,BUY,newyork,retest,620,3382.902,3370.266,3408.175,3408.175,target,12.636,1.9827,50.11,2.0,10071.57,
2025-09-17 19:15:00+00:00,2025-09-17 19:30:00+00:00,2025-09-18 06:05:00+00:00,BUY,newyork,retest,634,3664.025,3640.789,3710.498,3640.739,stop,23.236,1.0836,-25.23,-1.002,10046.34,
2025-09-18 13:45:00+00:00,2025-09-18 14:00:00+00:00,2025-09-19 18:12:00+00:00,BUY,overlap,retest,634,3642.645,3624.03,3679.875,3679.875,target,18.615,1.3492,50.23,2.0,10096.57,
2025-10-13 07:00:00+00:00,2025-10-13 07:15:00+00:00,2025-10-13 23:34:00+00:00,BUY,london,retest,645,4072.331,4045.958,4125.077,4125.077,target,26.373,0.9571,50.48,2.0,10147.05,
