signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held
2021-09-28 08:00:00+00:00,2021-09-28 08:15:00+00:00,2021-09-29 17:35:00+00:00,SELL,london,rejection,24,1741.154,1750.543,1722.376,1722.376,target,9.389,2.6627,50.0,2.0,10050.0,
2021-10-22 16:00:00+00:00,2021-10-22 16:15:00+00:00,2021-10-27 19:15:00+00:00,BUY,newyork,rejection,28,1788.962,1777.409,1812.068,1795.128,timeout,11.553,2.1747,13.41,0.534,10063.41,288.0
2021-11-04 15:15:00+00:00,2021-11-04 15:30:00+00:00,2021-11-05 13:27:00+00:00,SELL,overlap,rejection,36,1793.744,1800.429,1780.373,1800.479,stop,6.685,3.7633,-25.35,-1.007,10038.06,
2021-12-07 14:15:00+00:00,2021-12-07 14:30:00+00:00,2021-12-08 02:04:00+00:00,SELL,overlap,rejection,43,1778.725,1788.617,1758.941,1788.667,stop,9.892,2.537,-25.22,-1.005,10012.84,
2021-12-09 14:30:00+00:00,2021-12-09 14:45:00+00:00,2021-12-10 14:02:00+00:00,SELL,overlap,rejection,43,1776.973,1788.231,1754.456,1788.281,stop,11.258,2.2234,-25.14,-1.004,9987.7,
2021-12-14 16:15:00+00:00,2021-12-14 16:30:00+00:00,2021-12-15 19:00:00+00:00,SELL,overlap,rejection,56,1773.008,1781.894,1755.237,1755.237,target,8.886,2.8101,49.94,2.0,10037.64,102.0
2021-12-15 19:15:00+00:00,2021-12-15 19:30:00+00:00,2021-12-15 20:06:00+00:00,SELL,newyork,rejection,60,1762.778,1773.158,1742.017,1773.208,stop,10.38,2.4174,-25.21,-1.005,10012.42,
2021-12-15 20:30:00+00:00,2021-12-15 20:45:00+00:00,2021-12-16 11:19:00+00:00,SELL,newyork,rejection,43,1777.545,1788.556,1755.523,1788.606,stop,11.011,2.2733,-25.14,-1.005,9987.28,
2022-01-05 19:15:00+00:00,2022-01-05 19:30:00+00:00,2022-01-05 20:15:00+00:00,BUY,newyork,rejection,58,1819.782,1810.636,1838.073,1810.586,stop,9.146,2.7301,-25.1,-1.005,9962.17,3.0
2022-01-24 16:45:00+00:00,2022-01-24 17:00:00+00:00,2022-01-26 19:03:00+00:00,BUY,newyork,rejection,72,1835.262,1825.267,1855.252,1825.217,stop,9.995,2.4918,-25.03,-1.005,9937.14,
