strategy,trend_mode,session_filter,r_target,risk_pct,trades,win_rate_pct,profit_factor,expectancy_R,exp_R_ci_low,exp_R_ci_high,prob_no_edge,net_return_pct,max_drawdown_pct,worst_losing_streak,timeouts,skipped_overlapping,final_equity
001A,ema50,True,1.0,0.25,357,49.86,0.978,-0.0099,-0.1145,0.0938,0.5737,-1.0,-6.17,10,1,166,9900.41
001A,ema50,True,1.0,0.5,357,49.86,0.976,-0.0099,-0.1145,0.0938,0.5737,-2.2,-12.1,10,1,166,9779.82
001A,ema50,True,1.5,0.25,333,40.54,1.003,0.0035,-0.1295,0.1356,0.4799,0.14,-6.86,10,3,190,10013.81
001A,ema50,True,1.5,0.5,333,40.54,1.0,0.0035,-0.1295,0.1356,0.4799,-0.04,-13.43,10,3,190,9996.4
001A,ema50,True,2.0,0.25,309,33.01,0.949,-0.0322,-0.1898,0.1258,0.6602,-2.64,-7.03,13,6,214,9736.17
001A,ema50,True,2.0,0.5,309,33.01,0.946,-0.0322,-0.1898,0.1258,0.6602,-5.56,-13.77,13,6,214,9443.67
001A,ema50,True,2.5,0.25,297,29.29,0.947,-0.035,-0.2084,0.1396,0.653,-2.77,-8.7,14,13,226,9722.52
001A,ema50,True,2.5,0.5,297,29.29,0.944,-0.035,-0.2084,0.1396,0.653,-5.88,-16.85,14,13,226,9411.64
001A,ema50,True,3.0,0.25,288,27.43,0.983,-0.009,-0.2004,0.1879,0.5463,-0.9,-5.86,14,17,235,9910.39
001A,ema50,True,3.0,0.5,288,27.43,0.978,-0.009,-0.2004,0.1879,0.5463,-2.27,-11.61,14,17,235,9772.62
001A,ema50,False,1.0,0.25,408,49.75,0.974,-0.0119,-0.1083,0.084,0.5893,-1.34,-7.16,11,1,214,9866.37
001A,ema50,False,1.0,0.5,408,49.75,0.972,-0.0119,-0.1083,0.084,0.5893,-2.9,-13.96,11,1,214,9709.54
001A,ema50,False,1.5,0.25,372,40.59,1.002,0.003,-0.1213,0.1282,0.4887,0.1,-9.33,11,2,250,10009.98
001A,ema50,False,1.5,0.5,372,40.59,0.999,0.003,-0.1213,0.1282,0.4887,-0.15,-17.97,11,2,250,9985.0
001A,ema50,False,2.0,0.25,342,33.04,0.953,-0.0297,-0.1769,0.122,0.6558,-2.72,-9.38,14,6,280,9728.46
001A,ema50,False,2.0,0.5,342,33.04,0.95,-0.0297,-0.1769,0.122,0.6558,-5.75,-18.1,14,6,280,9424.81
001A,ema50,False,2.5,0.25,328,29.27,0.927,-0.0501,-0.213,0.1175,0.7295,-4.25,-11.09,15,16,294,9574.87
001A,ema50,False,2.5,0.5,328,29.27,0.924,-0.0501,-0.213,0.1175,0.7295,-8.76,-21.17,15,16,294,9124.49
001A,ema50,False,3.0,0.25,322,27.33,0.964,-0.0233,-0.2027,0.1587,0.5986,-2.13,-9.08,15,20,300,9787.42
001A,ema50,False,3.0,0.5,322,27.33,0.96,-0.0233,-0.2027,0.1587,0.5986,-4.73,-17.56,15,20,300,9526.64
001A,ema50_200,True,1.0,0.25,225,52.0,1.063,0.0319,-0.0981,0.1621,0.307,1.74,-3.29,6,1,103,10174.01
001A,ema50_200,True,1.0,0.5,225,52.0,1.059,0.0319,-0.0981,0.1621,0.307,3.36,-6.51,6,1,103,10336.45
001A,ema50_200,True,1.5,0.25,210,43.33,1.121,0.0714,-0.0969,0.2384,0.2008,3.71,-3.97,10,3,118,10371.46
001A,ema50_200,True,1.5,0.5,210,43.33,1.117,0.0714,-0.0969,0.2384,0.2008,7.35,-7.81,10,3,118,10735.23
001A,ema50_200,True,2.0,0.25,197,38.07,1.176,0.1124,-0.0872,0.3159,0.1363,5.56,-3.73,10,5,131,10555.72
001A,ema50_200,True,2.0,0.5,197,38.07,1.171,0.1124,-0.0872,0.3159,0.1363,11.14,-7.35,10,5,131,11113.86
001A,ema50_200,True,2.5,0.25,188,33.51,1.159,0.1097,-0.1188,0.3433,0.1751,5.13,-4.09,11,8,140,10513.21
001A,ema50_200,True,2.5,0.5,188,33.51,1.155,0.1097,-0.1188,0.3433,0.1751,10.2,-8.04,11,8,140,11019.63
001A,ema50_200,True,3.0,0.25,181,32.04,1.265,0.1856,-0.0708,0.4482,0.0807,8.56,-3.73,11,10,147,10856.47
001A,ema50_200,True,3.0,0.5,181,32.04,1.259,0.1856,-0.0708,0.4482,0.0807,17.44,-7.35,11,10,147,11744.08
001A,ema50_200,False,1.0,0.25,256,52.73,1.095,0.047,-0.0752,0.1682,0.2263,2.97,-3.49,6,1,138,10297.07
001A,ema50_200,False,1.0,0.5,256,52.73,1.091,0.047,-0.0752,0.1682,0.2263,5.86,-6.89,6,1,138,10585.94
001A,ema50_200,False,1.5,0.25,234,44.44,1.167,0.0965,-0.0618,0.256,0.1161,5.69,-4.69,11,2,160,10568.57
001A,ema50_200,False,1.5,0.5,234,44.44,1.162,0.0965,-0.0618,0.256,0.1161,11.44,-9.19,11,2,160,11144.27
001A,ema50_200,False,2.0,0.25,215,38.6,1.206,0.1307,-0.0619,0.3242,0.0923,7.12,-4.46,11,5,179,10712.38
001A,ema50_200,False,2.0,0.5,215,38.6,1.201,0.1307,-0.0619,0.3242,0.0923,14.43,-8.75,11,5,179,11443.17
001A,ema50_200,False,2.5,0.25,205,34.15,1.172,0.1175,-0.1,0.3425,0.1446,6.04,-4.7,11,10,189,10603.54
001A,ema50_200,False,2.5,0.5,205,34.15,1.167,0.1175,-0.1,0.3425,0.1446,12.07,-9.21,11,10,189,11206.85
