ts,direction,zone_id,reason,session,price,stop_distance,atr15,bars_to_retest,retest_completed
2015-03-03 13:30:00+00:00,-1,26,stop_too_wide,overlap,1206.326,8.034,1.673,,
2015-03-03 19:00:00+00:00,-1,26,retest_expired,newyork,1203.7635,,,13.0,False
2015-03-04 20:15:00+00:00,-1,21,stop_too_wide,newyork,1199.262,7.56,1.469,,
2015-03-31 03:15:00+00:00,-1,40,stop_too_wide,off,1183.0065,5.697,1.066,,
2015-03-31 06:00:00+00:00,-1,40,retest_expired,off,1182.3690000000001,,,13.0,False
2015-04-01 01:30:00+00:00,-1,40,retest_expired,off,1186.1905,,,13.0,False
2015-04-01 11:45:00+00:00,-1,40,retest_expired,london,1185.1045,,,13.0,False
2015-04-23 06:00:00+00:00,-1,39,stop_too_wide,off,1188.491,5.086,0.992,,
2015-04-23 11:00:00+00:00,-1,42,stop_too_wide,london,1189.7350000000001,7.244,1.183,,
2015-04-23 12:00:00+00:00,-1,42,stop_too_wide,overlap,1190.202,6.828,1.286,,
2015-04-23 13:00:00+00:00,-1,42,stop_too_wide,overlap,1188.8125,8.368,1.587,,
2015-04-23 14:00:00+00:00,-1,42,retest_expired,overlap,1187.377,,,13.0,False
2015-04-24 14:15:00+00:00,-1,42,retest_expired,overlap,1177.415,,,13.0,False
2015-04-24 17:00:00+00:00,-1,40,retest_expired,newyork,1176.836,,,13.0,False
2015-04-27 06:15:00+00:00,-1,40,stop_too_wide,off,1181.6145000000001,6.977,0.843,,
2015-04-27 07:00:00+00:00,-1,40,retest_expired,london,1182.3295,,,13.0,False
2015-04-27 08:00:00+00:00,-1,40,stop_too_wide,london,1182.289,6.36,0.958,,
2015-04-27 08:15:00+00:00,-1,40,stop_too_wide,london,1182.216,6.432,0.957,,
2015-04-27 10:15:00+00:00,-1,40,stop_too_wide,london,1182.897,5.733,0.922,,
2015-04-27 10:45:00+00:00,-1,40,retest_expired,london,1185.0505,,,13.0,False
2015-05-08 02:15:00+00:00,-1,40,stop_too_wide,off,1183.8345,4.797,0.924,,
2015-05-08 03:00:00+00:00,-1,40,stop_too_wide,off,1183.4155,5.189,0.87,,
2015-05-08 03:30:00+00:00,-1,40,stop_too_wide,off,1183.3265000000001,5.261,0.837,,
2015-05-08 04:15:00+00:00,-1,40,retest_expired,off,1184.4144999999999,,,13.0,False
2015-05-08 08:45:00+00:00,-1,47,stop_too_wide,london,1186.5,4.349,0.998,,
2015-05-08 09:45:00+00:00,-1,47,stop_too_wide,london,1186.345,4.521,1.032,,
2015-06-01 09:45:00+00:00,-1,47,stop_too_wide,london,1186.7579999999998,4.08,0.976,,
2015-06-01 10:00:00+00:00,-1,52,retest_expired,london,1186.078,,,13.0,False
2015-06-01 10:30:00+00:00,-1,47,retest_expired,london,1185.5755,,,13.0,False
2015-06-01 17:15:00+00:00,-1,60,retest_expired,newyork,1188.4485,,,13.0,False
2015-06-01 18:15:00+00:00,-1,48,retest_expired,newyork,1189.0845,,,13.0,False
2015-06-01 19:45:00+00:00,-1,52,stop_too_wide,newyork,1188.925,7.025,1.605,,
2015-06-01 20:00:00+00:00,-1,52,stop_too_wide,newyork,1188.774,7.175,1.601,,
2015-06-01 20:15:00+00:00,-1,52,retest_expired,newyork,1189.1745,,,13.0,False
