signal_ts,entry_ts,direction,structural_stop,atr_buffer,stop,stop_distance,ref_close,atr15,spread,zone_id,zone_lo,zone_hi,zone_touches,setup,session,regime,bars_to_retest,retest_completed,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2015-03-02 19:00:00+00:00,2015-03-02 19:15:00+00:00,-1,1213.523,0.788,1214.311,5.51,1208.801,1.575,0.3279,26,1208.844,1213.523,2,retest,newyork,bear,10,True,0.0803,0.7243,0.1954,0.1954,0.691
2015-03-03 12:30:00+00:00,2015-03-03 12:45:00+00:00,-1,1213.523,0.626,1214.149,4.049,1210.1,1.252,0.265,26,1208.844,1213.523,2,retest,london,bear,11,True,0.5218,0.4731,0.005,0.005,1.294
2015-03-03 15:30:00+00:00,2015-03-03 15:45:00+00:00,-1,1214.919,1.152,1216.071,7.041,1209.03,2.304,0.2934,26,1208.844,1213.523,2,retest,overlap,bear,10,True,0.7623,0.1992,0.0385,0.0385,4.118
2015-03-30 12:30:00+00:00,2015-03-30 12:45:00+00:00,-1,1188.275,0.796,1189.071,4.121,1184.949,1.591,0.2837,40,1184.169,1188.171,2,retest,overlap,bear,4,True,0.6426,0.2231,0.1343,0.1343,1.779
2015-03-30 13:45:00+00:00,2015-03-30 14:00:00+00:00,-1,1188.171,0.945,1189.116,3.627,1185.488,1.89,0.2838,40,1184.169,1188.171,2,retest,overlap,bear,3,True,0.8294,0.1142,0.0564,0.0564,2.039
2015-03-31 12:15:00+00:00,2015-03-31 12:30:00+00:00,-1,1188.171,0.806,1188.977,2.251,1186.726,1.613,0.2891,40,1184.169,1188.171,2,retest,overlap,bear,3,True,0.0035,0.8684,0.1281,0.1281,1.569
2015-03-31 17:00:00+00:00,2015-03-31 17:15:00+00:00,-1,1188.171,0.87,1189.04,5.912,1183.128,1.739,0.2526,40,1184.169,1188.171,2,retest,newyork,bear,1,True,0.4095,0.4518,0.1387,0.1387,1.726
2015-04-23 08:15:00+00:00,2015-04-23 08:30:00+00:00,-1,1193.081,0.645,1193.726,4.924,1188.802,1.29,0.2777,39,1189.485,1193.081,2,retest,london,bear,12,True,0.6823,0.2664,0.0513,0.0513,1.541
2015-04-23 11:00:00+00:00,2015-04-23 11:15:00+00:00,-1,1193.081,0.592,1193.673,3.938,1189.735,1.183,0.2845,39,1189.485,1193.081,2,retest,london,bear,4,True,0.1204,0.5565,0.323,0.323,1.631
2015-04-23 13:00:00+00:00,2015-04-23 13:15:00+00:00,-1,1193.081,0.793,1193.875,5.062,1188.812,1.587,0.2612,39,1189.485,1193.081,2,retest,overlap,bear,3,True,0.3156,0.6758,0.0086,0.0086,1.694
2015-04-24 13:15:00+00:00,2015-04-24 13:30:00+00:00,-1,1193.081,0.887,1193.968,6.223,1187.745,1.774,0.2681,39,1189.485,1193.081,2,retest,overlap,bear,9,True,0.8067,0.0544,0.1389,0.1389,2.084
